# Li & White 2009
# logM*, logdN/dlogM* [cMpc-3]
11.4284, -4.05491
11.4334, -4.07387
11.4384, -4.09299
11.4434, -4.11228
11.4484, -4.13174
11.4534, -4.15136
11.4584, -4.17115
11.4634, -4.19111
11.4684, -4.21125
11.4734, -4.23156
11.4784, -4.25205
11.4834, -4.27272
11.4884, -4.29358
11.4934, -4.31461
11.4984, -4.33584
11.5034, -4.35724
11.5084, -4.37885
11.5134, -4.40064
11.5184, -4.42263
11.5234, -4.44482
11.5284, -4.46721
11.5334, -4.48980
11.5384, -4.51259
11.5434, -4.53559
11.5484, -4.55880
11.5534, -4.58222
11.5584, -4.60585
11.5634, -4.62970
11.5684, -4.65377
11.5734, -4.67807
11.5784, -4.70258
11.5834, -4.72732
11.5884, -4.75229
11.5934, -4.77749
11.5984, -4.80293
11.6034, -4.82860
11.6084, -4.85452
11.6134, -4.88067
11.6184, -4.90708
11.6234, -4.93373
11.6284, -4.96063
11.6334, -4.98778
11.6384, -5.01520
11.6434, -5.04287
11.6484, -5.07081
11.6534, -5.09901
11.6584, -5.12748
11.6634, -5.15623
11.6684, -5.18525
11.6734, -5.21454
11.6784, -5.24412
11.6834, -5.27399
11.6884, -5.30415
11.6934, -5.33459
11.6984, -5.36533
11.7034, -5.39637
11.7084, -5.42771
11.7134, -5.45937
11.7184, -5.49132
11.7234, -5.52359
11.7284, -5.55617
11.7334, -5.58908
11.7384, -5.62231
11.7434, -5.65587
11.7484, -5.68976
11.7534, -5.72398
11.7584, -5.75854
11.7634, -5.79344
11.7684, -5.82870
11.7734, -5.86430
11.7784, -5.90026
11.7834, -5.93658
11.7884, -5.97326
11.7934, -6.01031
11.7984, -6.04772
11.8034, -6.08552
11.8084, -6.12369
11.8134, -6.16225
11.8184, -6.20120
11.8234, -6.24055
11.8284, -6.28029
11.8334, -6.32043
11.8384, -6.36099
11.8434, -6.40195
11.8484, -6.44333
11.8534, -6.48513
11.8584, -6.52736
11.8634, -6.57002
11.8684, -6.61312
11.8734, -6.65666
11.8784, -6.70064
11.8834, -6.74508
11.8884, -6.78998
11.8934, -6.83534
11.8984, -6.88117
11.9034, -6.92747
11.9084, -6.97425
11.9134, -7.02151
11.9184, -7.06927
11.9234, -7.11751
11.9284, -7.16626
11.9334, -7.21551
11.9384, -7.26529
11.9434, -7.31558
11.9484, -7.36639
11.9534, -7.41774
11.9584, -7.46961
11.9634, -7.52205
11.9684, -7.57502
11.9734, -7.62855
11.9784, -7.68264
11.9834, -7.73731
11.9884, -7.79255
11.9934, -7.84837
11.9984, -7.90478
12.0034, -7.96178
12.0084, -8.01939
12.0134, -8.07761
12.0184, -8.13645
12.0234, -8.19591
12.0284, -8.25600
12.0334, -8.31673
12.0384, -8.37811
12.0434, -8.44014
12.0484, -8.50282
12.0534, -8.56617
12.0584, -8.63021
12.0634, -8.69493
12.0684, -8.76034
12.0734, -8.82645
12.0784, -8.89328
12.0834, -8.96080
12.0884, -9.02907
12.0934, -9.09805
12.0984, -9.16779
12.1034, -9.23828
